,player_total,dealer_card_up,double,hit,stand,best_action
0,20,10,-1.71045,-0.855225,0.434475,stand
1,20,11,-1.7551,-0.87755,0.107125,stand
2,20,2,-1.7063,-0.85315,0.6336,stand
3,20,3,-1.70875,-0.854375,0.6383,stand
4,20,4,-1.7133,-0.85665,0.651275,stand
5,20,5,-1.69805,-0.849025,0.66985,stand
6,20,6,-1.70505,-0.852525,0.676675,stand
7,20,7,-1.6863,-0.84315,0.77005,stand
8,20,8,-1.6989,-0.84945,0.788125,stand
9,20,9,-1.69345,-0.846725,0.756425,stand
10,19,2,-1.44855,-0.7365,0.3772,stand
11,19,3,-1.4463,-0.733125,0.393025,stand
12,19,4,-1.45125,-0.7258,0.419975,stand
13,19,5,-1.455,-0.725075,0.433375,stand
14,19,6,-1.45345,-0.72145,0.4593,stand
15,19,7,-1.4318,-0.715875,0.617375,stand
16,19,8,-1.41935,-0.7126,0.592125,stand
17,19,9,-1.4209,-0.718275,0.28715,stand
18,19,10,-1.49065,-0.743425,-0.022975,stand
19,19,11,-1.57805,-0.7933,-0.1828,stand
20,18,2,-0.31165,-0.155525,0.0243,stand
21,18,3,-0.3142,-0.155875,0.03585,stand
22,18,4,-0.31085,-0.153025,0.03895,stand
23,18,5,-0.31335,-0.153025,0.04865,stand
24,18,6,-0.3108,-0.1532,0.0539,stand
25,18,7,-0.29665,-0.1464,0.101025,stand
26,18,8,-0.2926,-0.1488,0.028,stand
27,18,9,-0.31115,-0.15365,-0.046875,stand
28,18,10,-0.33725,-0.1664,-0.0618,stand
29,18,11,-0.36915,-0.183775,-0.12035,stand
30,17,2,-0.2698,-0.128625,-0.04075,stand
31,17,3,-0.264,-0.132775,-0.0291,stand
32,17,4,-0.27285,-0.135125,-0.0195,stand
33,17,5,-0.26415,-0.13005,-0.012025,stand
34,17,6,-0.25115,-0.135975,-0.004175,stand
35,17,7,-0.24565,-0.120775,-0.026275,stand
36,17,8,-0.25185,-0.127325,-0.0964,stand
37,17,9,-0.2808,-0.1384,-0.10455,stand
38,17,10,-0.30295,-0.148725,-0.11305,stand
39,17,11,-0.34645,-0.169625,-0.166025,stand
40,16,2,-0.23895,-0.118825,-0.07335,stand
41,16,3,-0.2329,-0.114625,-0.06105,stand
42,16,4,-0.2267,-0.117175,-0.05155,stand
43,16,5,-0.2238,-0.1139,-0.0411,stand
44,16,6,-0.2267,-0.110475,-0.03,stand
45,16,7,-0.2102,-0.1036,-0.124,hit
46,16,8,-0.22615,-0.11665,-0.1301,hit
47,16,9,-0.2518,-0.1251,-0.13415,hit
48,16,10,-0.2862,-0.139775,-0.14295,hit
49,16,11,-0.336,-0.163875,-0.183,hit
50,15,2,-0.21465,-0.10495,-0.0693,stand
51,15,3,-0.20645,-0.1002,-0.06265,stand
52,15,4,-0.20415,-0.1014,-0.0485,stand
53,15,5,-0.18995,-0.0928,-0.0418,stand
54,15,6,-0.18085,-0.097775,-0.03425,stand
55,15,7,-0.18835,-0.09215,-0.1179,hit
56,15,8,-0.21025,-0.103275,-0.12935,hit
57,15,9,-0.2332,-0.11935,-0.1361,hit
58,15,10,-0.27065,-0.1346,-0.14305,hit
59,15,11,-0.3175,-0.159875,-0.1801,hit
60,14,2,-0.18145,-0.092475,-0.0716,stand
61,14,3,-0.17585,-0.0873,-0.06265,stand
62,14,4,-0.17095,-0.0859,-0.0502,stand
63,14,5,-0.1588,-0.078775,-0.04245,stand
64,14,6,-0.1492,-0.079625,-0.02495,stand
65,14,7,-0.17425,-0.0799,-0.1156,hit
66,14,8,-0.1865,-0.091125,-0.12945,hit
67,14,9,-0.21495,-0.1084,-0.1353,hit
68,14,10,-0.24605,-0.1217,-0.1447,hit
69,14,11,-0.3077,-0.1511,-0.1812,hit
70,13,2,-0.15425,-0.075575,-0.07195,stand
71,13,3,-0.15235,-0.070775,-0.0607,stand
72,13,4,-0.1289,-0.0672,-0.05115,stand
73,13,5,-0.1304,-0.0614,-0.04315,stand
74,13,6,-0.11955,-0.060275,-0.0351,stand
75,13,7,-0.1465,-0.0658,-0.12085,hit
76,13,8,-0.17445,-0.08375,-0.1263,hit
77,13,9,-0.2081,-0.094975,-0.13305,hit
78,13,10,-0.23685,-0.11435,-0.1465,hit
79,13,11,-0.29115,-0.14205,-0.17775,hit
80,12,2,-0.13675,-0.062625,-0.0682,hit
81,12,3,-0.122,-0.055475,-0.0613,hit
82,12,4,-0.10625,-0.049175,-0.05185,hit
83,12,5,-0.09245,-0.047675,-0.0416,stand
84,12,6,-0.09515,-0.044225,-0.0317,stand
85,12,7,-0.12355,-0.0532,-0.1172,hit
86,12,8,-0.15305,-0.06755,-0.126,hit
87,12,9,-0.1818,-0.084775,-0.13245,hit
88,12,10,-0.21945,-0.107175,-0.1403,hit
89,12,11,-0.2902,-0.136325,-0.1816,hit
90,11,2,0.11565,0.0567,-0.07055,double
91,11,3,0.1342,0.063525,-0.0601,double
92,11,4,0.14235,0.0711,-0.0543,double
93,11,5,0.1541,0.07335,-0.03765,double
94,11,6,0.17485,0.08275,-0.0286,double
95,11,7,0.112,0.07415,-0.11905,double
96,11,8,0.08195,0.05795,-0.12665,double
97,11,9,0.05585,0.041225,-0.1327,double
98,11,10,0.01095,0.016375,-0.1478,hit
99,11,11,-0.0905,-0.032175,-0.18025,hit
100,10,2,0.0879,0.044675,-0.07415,double
101,10,3,0.10165,0.052975,-0.0638,double
102,10,4,0.11395,0.0576,-0.05265,double
103,10,5,0.12215,0.063525,-0.04035,double
104,10,6,0.1425,0.070975,-0.0356,double
105,10,7,0.1021,0.0631,-0.11945,double
106,10,8,0.07685,0.046125,-0.1271,double
107,10,9,0.0386,0.026825,-0.1318,double
108,10,10,-0.03755,-0.0062,-0.1434,hit
109,10,11,-0.1415,-0.0645,-0.18075,hit
110,9,2,0.0146,0.022375,-0.0692,hit
111,9,3,0.03395,0.03465,-0.0616,hit
112,9,4,0.0544,0.03585,-0.04955,double
113,9,5,0.06325,0.0406,-0.0446,double
114,9,6,0.07655,0.055325,-0.03055,double
115,9,7,0.0284,0.0492,-0.1221,hit
116,9,8,-0.01415,0.02875,-0.1273,hit
117,9,9,-0.07135,-0.013475,-0.13765,hit
