double,hit,stand,player_total,dealer_card_up,best_action,split
-1.7072770727707276,-0.8536385363853638,0.6325938259382594,20,2,stand,
-1.7082520825208252,-0.8541260412604126,0.643968939689397,20,3,stand,
-1.705992059920599,-0.8529960299602996,0.6548765487654876,20,4,stand,
-1.7074820748207482,-0.8537410374103741,0.6687391873918739,20,5,stand,
-1.7058220582205823,-0.8529110291102912,0.6774867748677487,20,6,stand,
-1.7027020270202702,-0.8513510135101351,0.7716177161771618,20,7,stand,
-1.7007820078200782,-0.8503910039100391,0.7909454094540945,20,8,stand,
-1.6987219872198722,-0.8493609936099361,0.7561050610506105,20,9,stand,
-1.7192021920219203,-0.8596010960109601,0.43609936099360996,20,10,stand,
-1.8014130141301412,-0.9007065070650706,0.11256112561125611,20,11,stand,
-1.509250092500925,-0.729909799097991,0.3775237752377524,19,2,stand,
-1.5107426074260744,-0.7283872838728387,0.39562395623956237,19,3,stand,
-1.5079650796507964,-0.727369773697737,0.4165366653666537,19,4,stand,
-1.5035650356503565,-0.7257547575475755,0.4353243532435324,19,5,stand,
-1.498929989299893,-0.7248047480474805,0.4538220382203822,19,6,stand,
-1.4900274002740028,-0.7151046510465104,0.6176361763617636,19,7,stand,
-1.4876323763237633,-0.7151246512465125,0.5947059470594706,19,8,stand,
-1.4874348743487436,-0.7140971409714097,0.2861678616786168,19,9,stand,
-1.387881378813788,-0.6731517315173152,0.056890568905689054,19,10,stand,
-1.043290432904329,-0.5067675676756768,0.13012630126301264,19,11,stand,
-1.3240382403824038,-0.6225912259122591,0.11041610416104161,18,2,stand,
-1.3271557715577156,-0.6231787317873179,0.1375688756887569,18,3,stand,
-1.3196231962319622,-0.6157036570365704,0.16566415664156642,18,4,stand,
-1.317830678306783,-0.6151361513615136,0.1932569325693257,18,5,stand,
-1.3175731757317573,-0.6139786397863979,0.22337723377233773,18,6,stand,
-1.2873428734287342,-0.5905284052840528,0.40067650676506766,18,7,stand,
-1.288650386503865,-0.5909209092090921,0.1063710637106371,18,8,stand,
-1.314610646106461,-0.6161886618866189,-0.18172431724317242,18,9,stand,
-1.2400874008740088,-0.5983059830598306,-0.1649141491414914,18,10,stand,
-0.9269567695676957,-0.44281942819428194,-0.15796657966579666,18,11,stand,
-1.1600691006910069,-0.537540375403754,-0.1555840558405584,17,2,stand,
-1.158139081390814,-0.5337328373283733,-0.12199371993719937,17,3,stand,
-1.1519690196901968,-0.5315653156531566,-0.08493834938349383,17,4,stand,
-1.153691536915369,-0.5225852258522585,-0.0471029710297103,17,5,stand,
-1.1460114601146012,-0.5198751987519875,-0.008037580375803759,17,6,stand,
-1.1076535765357653,-0.4846948469484695,-0.10775857758577585,17,7,stand,
-1.125138751387514,-0.5039175391753917,-0.3800638006380064,17,8,stand,
-1.1715542155421554,-0.5532480324803248,-0.4231642316423164,17,9,stand,
-1.1119786197861978,-0.5398778987789878,-0.38517135171351713,17,10,stand,
-0.832270822708227,-0.40238652386523865,-0.35691606916069163,17,11,stand,
-1.0198326983269832,-0.474479744797448,-0.2859328593285933,16,2,stand,
-1.0150901509015091,-0.4672121721217212,-0.24604746047460474,16,3,stand,
-1.002130021300213,-0.4603271032710327,-0.2076020760207602,16,4,stand,
-1.001020010200102,-0.4507370073700737,-0.16468164681646816,16,5,stand,
-0.990009900099001,-0.4415769157691577,-0.12209622096220962,16,6,stand,
-0.9589820898208982,-0.4153791537915379,-0.4731047310473105,16,7,hit,
-0.999439994399944,-0.45925459254592543,-0.509270092700927,16,8,hit,
-1.0527780277802778,-0.5069450694506945,-0.5428354283542836,16,9,hit,
-0.9970949709497094,-0.498249982499825,-0.49758247582475823,16,10,stand,
-0.7538625386253862,-0.3769312693126931,-0.41314913149131494,16,11,hit,
-0.8844913449134492,-0.4209242092420924,-0.2855728557285573,15,2,stand,
-0.8782912829128291,-0.40977659776597763,-0.24701747017470174,15,3,stand,
-0.8674461744617447,-0.3967289672896729,-0.2037170371703717,15,4,stand,
-0.8506985069850699,-0.3856713567135671,-0.16431664316643166,15,5,stand,
-0.8434009340093401,-0.3760337603376034,-0.12303123031230312,15,6,stand,
-0.8410909109091091,-0.37032620326203264,-0.473539735397354,15,7,hit,
-0.8859538595385954,-0.4146816468164682,-0.5105801058010581,15,8,hit,
-0.9386393863938639,-0.4702822028220282,-0.5430654306543066,15,9,hit,
-0.8952839528395284,-0.4625571255712557,-0.4978749787497875,15,10,hit,
-0.6774417744177442,-0.3503660036600366,-0.41364413644136444,15,11,hit,
