double,hit,stand,player_total,dealer_card_up,best_action,split
-1.7099520995209951,-0.8549760497604976,0.6376988769887699,20,2,stand,
-1.7071220712207122,-0.8535610356103561,0.6473889738897389,20,3,stand,
-1.7027170271702716,-0.8513585135851358,0.658359083590836,20,4,stand,
-1.7066620666206662,-0.8533310333103331,0.6694516945169452,20,5,stand,
-1.7034120341203411,-0.8517060170601706,0.7010620106201062,20,6,stand,
-1.7017820178201781,-0.8508910089100891,0.7706827068270683,20,7,stand,
-1.6988869888698888,-0.8494434944349444,0.7893578935789358,20,8,stand,
-1.6997319973199732,-0.8498659986599866,0.7577150771507715,20,9,stand,
-1.7186671866718668,-0.8593335933359334,0.4380868808688087,20,10,stand,
-1.7991929919299192,-0.8995964959649596,0.1547390473904739,20,11,stand,
-1.4579245792457924,-0.7285272852728527,0.3844338443384434,19,2,stand,
-1.454609546095461,-0.7277247772477725,0.40687156871568714,19,3,stand,
-1.4531845318453185,-0.725129751297513,0.42244422444224444,19,4,stand,
-1.4500445004450044,-0.7248772487724877,0.43443934439344395,19,5,stand,
-1.4434344343443435,-0.7215272152721527,0.49488744887448877,19,6,stand,
-1.4302693026930269,-0.7156446564465645,0.6166861668616687,19,7,stand,
-1.4266342663426634,-0.7132096320963209,0.5953459534595346,19,8,stand,
-1.4268292682926829,-0.7155646556465565,0.28846038460384604,19,9,stand,
-1.3477884778847788,-0.6731917319173192,0.05841058410584106,19,10,stand,
-1.002840028400284,-0.502980029800298,0.19208942089420894,19,11,stand,
-1.2430124301243013,-0.6223337233372334,0.12266872668726687,18,2,stand,
-1.2378873788737887,-0.6203612036120362,0.14395643956439563,18,3,stand,
-1.2328773287732877,-0.6178286782867829,0.17438174381743818,18,4,stand,
-1.2310023100231002,-0.6154336543365434,0.19921949219492194,18,5,stand,
-1.2142971429714298,-0.6091835918359184,0.2833978339783398,18,6,stand,
-1.1848868488684887,-0.5920534205342053,0.3991389913899139,18,7,stand,
-1.1820468204682046,-0.5915509155091551,0.10778607786077861,18,8,stand,
-1.2275722757227572,-0.6160511605116051,-0.18285932859328594,18,9,stand,
-1.19560195601956,-0.5954084540845408,-0.16151161511615117,18,10,stand,
-0.8713087130871309,-0.4330043300433004,-0.06887318873188732,18,11,stand,
-1.0721807218072181,-0.5355478554785548,-0.1543790437904379,17,2,stand,
-1.0603306033060331,-0.5286752867528676,-0.11480614806148061,17,3,stand,
-1.055280552805528,-0.5274802748027481,-0.08091830918309183,17,4,stand,
-1.0485554855548556,-0.5230052300523005,-0.04341043410434104,17,5,stand,
-1.015860158601586,-0.5103276032760328,0.011777617776177762,17,6,stand,
-0.971479714797148,-0.48156731567315675,-0.10672856728567286,17,7,stand,
-1.0114151141511416,-0.5059650596505965,-0.38164381643816436,17,8,stand,
-1.1041060410604107,-0.5526355263552636,-0.42182671826718265,17,9,stand,
