double,hit,stand,player_total,dealer_card_up,best_action,split
-1.7070520705207053,-0.8535260352603526,0.6340113401134011,20,2,stand,
-1.7084520845208453,-0.8542260422604226,0.6444689446894469,20,3,stand,
-1.7088270882708827,-0.8544135441354413,0.6551665516655166,20,4,stand,
-1.7068870688706888,-0.8534435344353444,0.6687591875918759,20,5,stand,
-1.7061620616206161,-0.8530810308103081,0.6750317503175032,20,6,stand,
-1.7010720107201072,-0.8505360053600536,0.770720207202072,20,7,stand,
-1.6984969849698497,-0.8492484924849248,0.7911554115541155,20,8,stand,
-1.6996719967199672,-0.8498359983599836,0.7543650436504366,20,9,stand,
-1.7199321993219931,-0.8599660996609966,0.43836938369383693,20,10,stand,
-1.8024580245802457,-0.9012290122901229,0.11573615736157361,20,11,stand,
-1.5039075390753907,-0.7311023110231102,0.37649626496264965,19,2,stand,
-1.505740057400574,-0.7287972879728797,0.3960689606896069,19,3,stand,
-1.5048850488504886,-0.7267722677226772,0.41480664806648065,19,4,stand,
-1.5046775467754678,-0.7267872678726788,0.43625686256862567,19,5,stand,
-1.5020050200502004,-0.7246947469474695,0.45149451494514947,19,6,stand,
-1.490619906199062,-0.7137721377213773,0.6173536735367353,19,7,stand,
-1.487749877498775,-0.7139646396463964,0.5929359293592936,19,8,stand,
-1.4900474004740047,-0.7149521495214952,0.2887453874538745,19,9,stand,
-1.3865663656636567,-0.6727392273922739,0.056553065530655304,19,10,stand,
-1.0456654566545664,-0.5072250722507226,0.13180631806318063,19,11,stand,
-1.3223682236822367,-0.6239962399623996,0.1120011200112001,18,2,stand,
-1.3199356993569935,-0.6183461834618346,0.13821638216382165,18,3,stand,
-1.317830678306783,-0.6193261932619326,0.16619416194161943,18,4,stand,
-1.3157556575565756,-0.6140011400114002,0.19595945959459596,18,5,stand,
-1.3129056290562906,-0.6132336323363233,0.22419724197241972,18,6,stand,
-1.2893278932789327,-0.5929709297092971,0.3975839758397584,18,7,stand,
-1.289270392703927,-0.5915234152341523,0.10532855328553285,18,8,stand,
-1.3114306143061432,-0.6169061690616906,-0.18489434894348944,18,9,stand,
-1.2359023590235902,-0.596660966609666,-0.1641341413414134,18,10,stand,
-0.9285592855928559,-0.4440344403444034,-0.15584655846558465,18,11,stand,
-1.1663466634666346,-0.539020390203902,-0.1539490394903949,17,2,stand,
-1.1618566185661856,-0.5315078150781508,-0.12083870838708387,17,3,stand,
-1.1540040400404004,-0.5298352983529835,-0.08239582395823958,17,4,stand,
-1.1466064660646607,-0.5242677426774268,-0.04413044130441304,17,5,stand,
-1.1368463684636847,-0.5183676836768367,-0.0063875638756387566,17,6,stand,
-1.1047485474854748,-0.48579985799858,-0.10640606406064061,17,7,stand,
-1.1249012490124901,-0.5065275652756528,-0.3808863088630886,17,8,stand,
-1.1676466764667646,-0.5551205512055121,-0.4240967409674097,17,9,stand,
-1.1094060940609407,-0.5412529125291253,-0.3870838708387084,17,10,stand,
-0.8343633436334363,-0.40217152171521714,-0.3550610506105061,17,11,stand,
-1.02340023400234,-0.47392223922239224,-0.2884278842788428,16,2,stand,
-1.0161426614266142,-0.468859688596886,-0.24535745357453576,16,3,stand,
-1.0056225562255623,-0.45763707637076373,-0.2057670576705767,16,4,stand,
-0.9964974649746497,-0.4507220072200722,-0.16535165351653516,16,5,stand,
-0.9946049460494605,-0.4402669026690267,-0.12133121331213312,16,6,stand,
-0.9611071110711107,-0.41399163991639915,-0.47306973069730696,16,7,hit,
-1.00420004200042,-0.4555120551205512,-0.509520095200952,16,8,hit,
-1.0533755337553377,-0.5101176011760118,-0.5415654156541565,16,9,hit,
-0.9970424704247043,-0.49577495774957747,-0.497509975099751,16,10,hit,
-0.7534075340753408,-0.37561875618756185,-0.41309663096630966,16,11,hit,
-0.8904589045890459,-0.4194641946419464,-0.2849728497284973,15,2,stand,
-0.8813313133131331,-0.4075915759157592,-0.25017750177501774,15,3,stand,
-0.8628786287862878,-0.3961689616896169,-0.2062620626206262,15,4,stand,
-0.8535035350353504,-0.3867038670386704,-0.16624666246662467,15,5,stand,
-0.8418909189091891,-0.37954629546295465,-0.12035620356203562,15,6,stand,
-0.8346333463334633,-0.37007370073700735,-0.47581475814758145,15,7,hit,
-0.8801138011380114,-0.41680166801668017,-0.512590125901259,15,8,hit,
-0.9384543845438454,-0.46934219342193423,-0.54310043100431,15,9,hit,
-0.8968939689396894,-0.4649971499714997,-0.49652246522465227,15,10,hit,
-0.6765892658926589,-0.34990849908499083,-0.4120441204412044,15,11,hit,
-0.7572675726757268,-0.36495614956149564,-0.28703787037870376,14,2,stand,
-0.7428049280492804,-0.3480009800098001,-0.24604246042460426,14,3,stand,
-0.7287372873728737,-0.3350008500085001,-0.20548705487054872,14,4,stand,
-0.7108071080710807,-0.32127321273212733,-0.16604166041660418,14,5,stand,
-0.7031945319453194,-0.3055580555805558,-0.12435624356243563,14,6,stand,
-0.7121821218212182,-0.3213907139071391,-0.474449744497445,14,7,hit,
-0.7655951559515595,-0.37040370403704037,-0.5107551075510756,14,8,hit,
-0.8187881878818788,-0.4282592825928259,-0.5410954109541095,14,9,hit,
-0.7910254102541026,-0.43100931009310095,-0.4976149761497615,14,10,hit,
-0.5973934739347393,-0.3242982429824298,-0.41351413514135144,14,11,hit,
-0.6299437994379944,-0.3109556095560956,-0.2853228532285323,13,2,stand,
-0.6075435754357543,-0.290960409604096,-0.24837748377483776,13,3,stand,
-0.5857008570085701,-0.27428274282742826,-0.2070770707707077,13,4,stand,
-0.57080070800708,-0.2588075880758808,-0.16387163871638716,13,5,stand,
-0.5565155651556516,-0.238449884498845,-0.12073620736207362,13,6,stand,
-0.5860558605586056,-0.2674876748767488,-0.47502475024750246,13,7,hit,
-0.6372788727887279,-0.32420324203242035,-0.511890118901189,13,8,hit,
-0.7019470194701947,-0.38582135821358216,-0.5411354113541136,13,9,hit,
-0.6721392213922139,-0.3935039350393504,-0.4982124821248212,13,10,hit,
-0.51590015900159,-0.29579545795457957,-0.4134591345913459,13,11,hit,
-0.49184991849918497,-0.254620046200462,-0.28662786627866277,12,2,hit,
-0.47133721337213375,-0.2321748217482175,-0.24510245102451025,12,3,hit,
-0.45169451694516943,-0.21449214492144922,-0.2049420494204942,12,4,stand,
-0.4310368103681037,-0.19145691456914568,-0.16451164511645117,12,5,stand,
-0.4106641066410664,-0.17346673466734666,-0.12054620546205462,12,6,stand,
-0.44949949499494996,-0.21196711967119672,-0.47442474424744246,12,7,hit,
-0.5077150771507715,-0.27242022420224205,-0.5115251152511525,12,8,hit,
-0.5778332783327833,-0.3415459154591546,-0.542780427804278,12,9,hit,
-0.568410684106841,-0.35372853728537285,-0.4991049910499105,12,10,hit,
-0.43398933989339894,-0.26775017750177504,-0.4126341263412634,12,11,hit,
0.5086975869758698,0.23483484834848348,-0.2853778537785378,11,2,double,
0.5317278172781728,0.261380113801138,-0.24612746127461274,11,3,double,
0.5579830798307983,0.28265532655326553,-0.2063620636206362,11,4,double,
0.5815158151581515,0.30823058230582306,-0.16542665426654266,11,5,double,
