double,hit,stand,player_total,dealer_card_up,best_action,split
-1.7061820618206185,-0.8530910309103091,0.6336763367633677,20,2,stand,
-1.7064920649206492,-0.8532460324603246,0.6417564175641757,20,3,stand,
-1.7088020880208803,-0.8544010440104401,0.6543690436904369,20,4,stand,
-1.7030320303203033,-0.8515160151601516,0.6686191861918619,20,5,stand,
-1.7018770187701877,-0.8509385093850939,0.6778642786427864,20,6,stand,
-1.6980569805698058,-0.8490284902849029,0.7732077320773207,20,7,stand,
-1.700562005620056,-0.850281002810028,0.7898953989539895,20,8,stand,
-1.6997169971699717,-0.8498584985849859,0.7563125631256312,20,9,stand,
-1.7198871988719888,-0.8599435994359944,0.4382918829188292,20,10,stand,
-1.7995929959299592,-0.8997964979649796,0.1138961389613896,20,11,stand,
-1.4581845818458186,-0.7300273002730028,0.3784837848378484,19,2,stand,
-1.457569575695757,-0.7286447864478645,0.3945414454144541,19,3,stand,
-1.4516945169451694,-0.72679976799768,0.4154966549665496,19,4,stand,
-1.455129551295513,-0.7249022490224902,0.4373393733937339,19,5,stand,
-1.4490044900449004,-0.726269762697627,0.4520245202452024,19,6,stand,
-1.4357843578435785,-0.7145346453464535,0.6162636626366264,19,7,stand,
-1.4270942709427097,-0.7147771477714777,0.5948209482094821,19,8,stand,
-1.429279292792928,-0.7161971619716198,0.2873628736287363,19,9,stand,
-1.3454784547845478,-0.6737817378173782,0.0589380893808938,19,10,stand,
-1.0132251322513226,-0.5055925559255593,0.1317363173631736,19,11,stand,
-1.24550245502455,-0.6240912409124091,0.1074210742107421,18,2,stand,
-1.2358373583735838,-0.6226837268372684,0.1375363753637536,18,3,stand,
-1.2350873508735087,-0.6177336773367733,0.1665466654666546,18,4,stand,
-1.2324623246232462,-0.6155086550865508,0.1948444484444844,18,5,stand,
-1.2251622516225162,-0.6134336343363433,0.2233572335723357,18,6,stand,
-1.1817568175681756,-0.5916159161591615,0.4012640126401264,18,7,stand,
-1.181591815918159,-0.5899958999589996,0.1051985519855198,18,8,stand,
-1.2329773297732978,-0.6178536785367854,-0.1866818668186682,18,9,stand,
-1.1940369403694038,-0.5976309763097631,-0.1638491384913849,18,10,stand,
-0.8853988539885399,-0.4434394343943439,-0.1555365553655536,18,11,stand,
-1.0749257492574926,-0.5407079070790708,-0.1572840728407284,17,2,stand,
-1.067350673506735,-0.5339653396533965,-0.1187936879368793,17,3,stand,
-1.0600656006560063,-0.5290677906779068,-0.0803058030580305,17,4,stand,
-1.049420494204942,-0.5238927389273893,-0.0480254802548025,17,5,stand,
-1.037820378203782,-0.5182451824518245,-0.0062275622756227,17,6,stand,
-0.9654146541465416,-0.4846873468734687,-0.1071060710607106,17,7,stand,
-1.005410054100541,-0.503490034900349,-0.3817538175381754,17,8,stand,
-1.1047560475604756,-0.5537705377053771,-0.4222117221172212,17,9,stand,
-1.080790807908079,-0.5396853968539685,-0.3878713787137871,17,10,stand,
-0.8007230072300723,-0.4014890148901489,-0.3559860598605986,17,11,stand,
-0.945809458094581,-0.4736497364973649,-0.2876978769787698,16,2,stand,
-0.93459934599346,-0.466159661596616,-0.2479874798747987,16,3,stand,
-0.9160491604916048,-0.4578820788207882,-0.2043770437704377,16,4,stand,
-0.9022890228902288,-0.4496219962199622,-0.1664416644166441,16,5,stand,
-0.8814438144381443,-0.4396018960189602,-0.1206562065620656,16,6,stand,
-0.8232732327323273,-0.4165791657916579,-0.474319743197432,16,7,hit,
-0.9236342363423634,-0.4582070820708207,-0.509830098300983,16,8,hit,
-1.022920229202292,-0.5104526045260452,-0.5439254392543925,16,9,hit,
-0.999459994599946,-0.4985574855748557,-0.498679986799868,16,10,hit,
-0.7520175201752017,-0.3735962359623596,-0.4113791137911379,16,11,hit,
-0.8335833358333583,-0.4204992049920499,-0.2863778637786378,15,2,stand,
-0.8159781597815978,-0.4096990969909699,-0.2459824598245982,15,3,stand,
-0.7944379443794438,-0.3982164821648216,-0.2071920719207192,15,4,stand,
-0.7706027060270603,-0.3835188351883519,-0.1643366433664336,15,5,stand,
-0.7497324973249733,-0.3739312393123931,-0.1223662236622366,15,6,stand,
-0.7480274802748027,-0.3681961819618196,-0.4749647496474964,15,7,hit,
-0.8415234152341523,-0.4152816528165282,-0.5131201312013121,15,8,hit,
-0.9488744887448874,-0.4708222082220822,-0.5418704187041871,15,9,hit,
-0.9290642906429064,-0.4676646766467665,-0.4991749917499175,15,10,hit,
-0.7103621036210362,-0.3520935209352093,-0.4139241392413924,15,11,hit,
-0.7296572965729657,-0.3636711367113671,-0.2845228452284523,14,2,stand,
-0.7047970479704797,-0.3483284832848328,-0.2433324333243332,14,3,stand,
-0.6707717077170772,-0.3386108861088611,-0.2059820598205982,14,4,stand,
-0.6369213692136921,-0.317920679206792,-0.1640716407164071,14,5,stand,
