double,hit,stand,player_total,dealer_card_up,best_action,split
-1.7105114285714285,-0.8552557142857142,0.6319442857142857,20,2,stand,
-1.7042714285714289,-0.8521357142857143,0.6438671428571429,20,3,stand,
-1.7065685714285714,-0.8532842857142857,0.6542742857142857,20,4,stand,
-1.7078857142857142,-0.8539428571428571,0.6685971428571429,20,5,stand,
-1.7053285714285715,-0.8526642857142858,0.6768042857142857,20,6,stand,
-1.7031457142857145,-0.8515728571428571,0.7718357142857143,20,7,stand,
-1.6984142857142857,-0.8492071428571428,0.7912942857142857,20,8,stand,
-1.7004685714285714,-0.8502342857142857,0.7562714285714286,20,9,stand,
-1.7172314285714283,-0.8586157142857143,0.4389428571428571,20,10,stand,
-1.8019457142857145,-0.9009728571428572,0.11452285714285715,20,11,stand,
-1.45664,-0.73036,0.3784557142857143,19,2,stand,
-1.4556685714285715,-0.7275257142857143,0.3955985714285714,19,3,stand,
-1.4529942857142857,-0.72852,0.4163342857142857,19,4,stand,
-1.4518428571428572,-0.7259342857142858,0.4368642857142857,19,5,stand,
-1.4492171428571428,-0.72568,0.4526028571428571,19,6,stand,
-1.4286057142857145,-0.7170371428571428,0.6162628571428571,19,7,stand,
-1.4280514285714283,-0.7132271428571428,0.5949,19,8,stand,
-1.4309142857142858,-0.7142871428571429,0.2872757142857143,19,9,stand,
-1.3463342857142857,-0.6733514285714286,0.05769857142857144,19,10,stand,
-1.01294,-0.5060828571428572,0.13089,19,11,stand,
-1.2445571428571431,-0.6254314285714285,0.11229285714285714,18,2,stand,
-1.2420085714285714,-0.6205757142857142,0.14024142857142854,18,3,stand,
-1.2340571428571432,-0.6183942857142857,0.16701142857142856,18,4,stand,
-1.2320257142857145,-0.6161257142857143,0.19511571428571428,18,5,stand,
-1.2287657142857142,-0.6131571428571428,0.22170285714285715,18,6,stand,
-1.1842971428571432,-0.5910557142857142,0.40006857142857133,18,7,stand,
-1.1798142857142857,-0.5908771428571429,0.10571714285714286,18,8,stand,
-1.2312114285714286,-0.61411,-0.18341,18,9,stand,
-1.1952457142857142,-0.5967228571428571,-0.16506142857142858,18,10,stand,
-0.8833285714285715,-0.44266000000000005,-0.15501142857142858,18,11,stand,
-1.077842857142857,-0.5375528571428572,-0.1565257142857143,17,2,stand,
-1.0691542857142855,-0.5337857142857143,-0.12186285714285715,17,3,stand,
-1.0585257142857143,-0.5292385714285714,-0.08377142857142858,17,4,stand,
-1.044657142857143,-0.5251457142857143,-0.04677285714285714,17,5,stand,
-1.0337171428571428,-0.51846,-0.006045714285714285,17,6,stand,
-0.9665885714285716,-0.48422,-0.10542857142857144,17,7,stand,
-1.0128057142857143,-0.5048,-0.3822057142857143,17,8,stand,
-1.1047942857142856,-0.55099,-0.42182857142857133,17,9,stand,
-1.0783028571428572,-0.53845,-0.38603000000000004,17,10,stand,
-0.8025657142857143,-0.4015071428571429,-0.35531999999999997,17,11,stand,
-0.9498028571428572,-0.47313,-0.2872342857142857,16,2,stand,
-0.9288371428571428,-0.46473000000000003,-0.24476285714285714,16,3,stand,
