double,hit,stand,player_total,dealer_card_up,best_action,split
-1.7060457142857144,-0.8530228571428572,0.6380171428571428,20,2,stand,
-1.7054542857142858,-0.8527271428571429,0.6483442857142857,20,3,stand,
-1.7067742857142858,-0.8533871428571429,0.6583714285714286,20,4,stand,
-1.7060685714285715,-0.8530342857142857,0.6702342857142857,20,5,stand,
-1.7055371428571429,-0.8527685714285714,0.7028985714285715,20,6,stand,
-1.7012285714285715,-0.8506142857142858,0.7728757142857143,20,7,stand,
-1.69928,-0.84964,0.7904571428571429,20,8,stand,
-1.7021457142857144,-0.8510728571428572,0.7556457142857143,20,9,stand,
-1.71762,-0.85881,0.43676,20,10,stand,
-1.8014914285714285,-0.9007457142857143,0.15067285714285714,20,11,stand,
-1.4578885714285714,-0.7282328571428571,0.3840842857142857,19,2,stand,
-1.455622857142857,-0.7273314285714285,0.40381428571428574,19,3,stand,
-1.4526685714285714,-0.7282457142857143,0.42404,19,4,stand,
-1.4520942857142858,-0.7260442857142857,0.43855428571428573,19,5,stand,
-1.4448114285714286,-0.7212385714285714,0.49675,19,6,stand,
-1.4344142857142856,-0.7161442857142857,0.6152914285714286,19,7,stand,
-1.4256,-0.7145042857142857,0.59382,19,8,stand,
-1.4330285714285713,-0.7159085714285714,0.28737142857142856,19,9,stand,
-1.344477142857143,-0.6726214285714286,0.05942714285714286,19,10,stand,
-1.0018857142857143,-0.5024628571428571,0.19256857142857142,19,11,stand,
-1.2477314285714285,-0.6224771428571428,0.12011285714285715,18,2,stand,
-1.2420571428571427,-0.6189542857142857,0.1495557142857143,18,3,stand,
-1.2296028571428572,-0.6170757142857143,0.1735057142857143,18,4,stand,
-1.2275628571428572,-0.61708,0.19973857142857143,18,5,stand,
-1.2199,-0.60798,0.28284,18,6,stand,
-1.18168,-0.59151,0.39999,18,7,stand,
-1.1814085714285714,-0.5914671428571429,0.10583142857142858,18,8,stand,
-1.23104,-0.6155242857142857,-0.1831742857142857,18,9,stand,
-1.1942542857142857,-0.5976814285714286,-0.16406428571428572,18,10,stand,
-0.8686657142857143,-0.43467285714285714,-0.06837,18,11,stand,
-1.0732885714285714,-0.5374528571428572,-0.15427428571428572,17,2,stand,
-1.0599628571428572,-0.5323414285714285,-0.11784857142857143,17,3,stand,
-1.0556857142857143,-0.5263857142857142,-0.08089285714285714,17,4,stand,
-1.0469171428571429,-0.5239671428571429,-0.04684142857142857,17,5,stand,
-1.01744,-0.5101657142857143,0.01166142857142857,17,6,stand,
-0.96826,-0.4815785714285714,-0.10641,17,7,stand,
-1.008417142857143,-0.5032328571428571,-0.38072285714285714,17,8,stand,
-1.1047514285714286,-0.5518342857142857,-0.42449714285714285,17,9,stand,
-1.082622857142857,-0.5400757142857143,-0.38873857142857143,17,10,stand,
-0.7716742857142858,-0.38754571428571427,-0.3300742857142857,17,11,stand,
-0.9432342857142857,-0.47124714285714286,-0.29472857142857145,16,2,stand,
-0.9233628571428572,-0.46313714285714286,-0.2516342857142857,16,3,stand,
-0.9121,-0.45556714285714284,-0.2128,16,4,stand,
-0.8997,-0.45091,-0.16759428571428572,16,5,stand,
-0.8588942857142857,-0.43190285714285714,-0.15524857142857143,16,6,stand,
-0.8298428571428571,-0.4131042857142857,-0.4745142857142857,16,7,hit,
-0.9138914285714286,-0.45678714285714284,-0.5100771428571429,16,8,hit,
-1.0155714285714286,-0.5101914285714285,-0.5426142857142857,16,9,hit,
-0.9971285714285715,-0.4984314285714286,-0.49934,16,10,hit,
-0.71912,-0.3582585714285714,-0.46103,16,11,hit,
-0.8346285714285714,-0.4173928571428571,-0.29341142857142855,15,2,stand,
-0.8114114285714286,-0.4063357142857143,-0.25375714285714285,15,3,stand,
-0.7907171428571429,-0.3952428571428571,-0.21233142857142856,15,4,stand,
-0.7691657142857142,-0.3849757142857143,-0.1676457142857143,15,5,stand,
-0.7299457142857143,-0.36491,-0.1519457142857143,15,6,stand,
-0.7494171428571429,-0.3701457142857143,-0.4739028571428571,15,7,hit,
-0.8393971428571428,-0.4173142857142857,-0.5096171428571429,15,8,hit,
-0.9475628571428572,-0.47168571428571426,-0.54184,15,9,hit,
-0.9350285714285714,-0.4643685714285714,-0.49756285714285714,15,10,hit,
-0.6814428571428571,-0.33282285714285714,-0.4605914285714286,15,11,hit,
-0.7242314285714285,-0.36351,-0.2935542857142857,14,2,stand,
-0.6971685714285715,-0.3474871428571429,-0.2525314285714286,14,3,stand,
-0.6673,-0.33501285714285717,-0.21425714285714287,14,4,stand,
