double,hit,stand,player_total,dealer_card_up,best_action,split
-1.7085542857142857,-0.8542771428571428,0.6321914285714286,20,2,stand,
-1.707477142857143,-0.8537385714285715,0.6433271428571429,20,3,stand,
-1.70674,-0.85337,0.6545057142857142,20,4,stand,
-1.7067257142857142,-0.8533628571428571,0.6684785714285715,20,5,stand,
-1.7053742857142857,-0.8526871428571429,0.6763842857142857,20,6,stand,
-1.7018257142857143,-0.8509128571428571,0.77246,20,7,stand,
-1.7007828571428572,-0.8503914285714286,0.7917371428571428,20,8,stand,
-1.6976,-0.8488,0.7561914285714286,20,9,stand,
-1.7175114285714286,-0.8587557142857143,0.43676714285714285,20,10,stand,
-1.8024771428571429,-0.9012385714285714,0.11296428571428571,20,11,stand,
-1.4559628571428571,-0.7287385714285715,0.3792442857142857,19,2,stand,
-1.4555714285714285,-0.72905,0.3970957142857143,19,3,stand,
-1.4548257142857144,-0.72696,0.4156114285714286,19,4,stand,
-1.4554628571428572,-0.7249471428571429,0.43583571428571427,19,5,stand,
-1.4502142857142857,-0.7256914285714285,0.4519457142857143,19,6,stand,
-1.4303342857142858,-0.7154314285714286,0.6157542857142857,19,7,stand,
-1.4269142857142858,-0.7144385714285715,0.5933314285714286,19,8,stand,
-1.4315142857142857,-0.7159085714285714,0.28665,19,9,stand,
-1.346137142857143,-0.6729428571428572,0.05930285714285714,19,10,stand,
-1.013442857142857,-0.5052842857142857,0.1306342857142857,19,11,stand,
-1.24906,-0.6232785714285715,0.11081857142857143,18,2,stand,
-1.2392171428571428,-0.62029,0.13695285714285715,18,3,stand,
-1.2382342857142856,-0.6185,0.16477,18,4,stand,
-1.2337971428571428,-0.6158,0.19620142857142858,18,5,stand,
-1.2271971428571429,-0.6124371428571429,0.22196714285714286,18,6,stand,
-1.183917142857143,-0.5922542857142857,0.3990971428571429,18,7,stand,
-1.1807542857142856,-0.59016,0.10476714285714285,18,8,stand,
-1.23142,-0.6175742857142857,-0.1822757142857143,18,9,stand,
-1.19354,-0.59735,-0.16391142857142857,18,10,stand,
-0.8865742857142858,-0.4426428571428571,-0.15573428571428571,18,11,stand,
-1.0793342857142858,-0.5380828571428572,-0.15829857142857143,17,2,stand,
-1.068377142857143,-0.5327842857142857,-0.12310285714285714,17,3,stand,
-1.0573685714285714,-0.5291057142857143,-0.08255,17,4,stand,
-1.0486657142857143,-0.5253414285714286,-0.04653142857142857,17,5,stand,
-1.0349685714285715,-0.5203585714285714,-0.005488571428571429,17,6,stand,
-0.9699485714285714,-0.48586142857142856,-0.10579428571428572,17,7,stand,
-1.008722857142857,-0.5035071428571428,-0.38029857142857143,17,8,stand,
-1.104782857142857,-0.5530342857142857,-0.4223657142857143,17,9,stand,
-1.0814428571428572,-0.5389785714285714,-0.38587,17,10,stand,
-0.8043342857142857,-0.4023514285714286,-0.35546,17,11,stand,
-0.9439314285714285,-0.47292142857142855,-0.2870628571428571,16,2,stand,
-0.9352142857142857,-0.46757571428571426,-0.24626571428571428,16,3,stand,
-0.9164514285714286,-0.45903428571428573,-0.20515714285714284,16,4,stand,
-0.9047542857142857,-0.4509742857142857,-0.16451714285714286,16,5,stand,
-0.8866342857142857,-0.4428814285714286,-0.11999428571428572,16,6,stand,
-0.8298028571428572,-0.41431142857142855,-0.47392,16,7,hit,
-0.9125285714285715,-0.45846714285714285,-0.5107571428571429,16,8,hit,
-1.0182885714285714,-0.5086171428571429,-0.5436028571428572,16,9,hit,
-0.9950142857142857,-0.49841714285714284,-0.4984585714285714,16,10,hit,
-0.7477657142857143,-0.37751285714285715,-0.41366142857142857,16,11,hit,
-0.8370485714285715,-0.41845,-0.28733714285714285,15,2,stand,
-0.8144828571428572,-0.40956,-0.24741142857142856,15,3,stand,
-0.79634,-0.39704285714285714,-0.20709714285714287,15,4,stand,
-0.7706114285714286,-0.3840442857142857,-0.16782285714285713,15,5,stand,
-0.7546485714285714,-0.3747657142857143,-0.12215428571428572,15,6,stand,
-0.7481485714285714,-0.3690185714285714,-0.4760885714285714,15,7,hit,
-0.84292,-0.4154157142857143,-0.5091828571428572,15,8,hit,
-0.9463314285714286,-0.4708428571428571,-0.5423028571428572,15,9,hit,
-0.9314542857142857,-0.46606142857142857,-0.4979585714285714,15,10,hit,
-0.7062314285714286,-0.3523,-0.4120871428571429,15,11,hit,
-0.7284771428571428,-0.36376285714285717,-0.28883714285714285,14,2,stand,
-0.7032685714285715,-0.35016,-0.24736571428571427,14,3,stand,
-0.6705342857142857,-0.33667714285714284,-0.20775142857142856,14,4,stand,
-0.6418285714285714,-0.31911142857142855,-0.16392571428571429,14,5,stand,
-0.6156771428571428,-0.3067371428571429,-0.12096571428571429,14,6,stand,
-0.6701228571428571,-0.3221757142857143,-0.47614285714285715,14,7,hit,
-0.7621714285714286,-0.37127571428571426,-0.5109628571428572,14,8,hit,
-0.8817828571428571,-0.43188714285714286,-0.5426142857142857,14,9,hit,
-0.8646485714285714,-0.43264857142857144,-0.4965,14,10,hit,
-0.6635771428571429,-0.3243042857142857,-0.41201857142857146,14,11,hit,
-0.6177457142857142,-0.30777714285714286,-0.2860971428571429,13,2,stand,
-0.5817457142857143,-0.2910857142857143,-0.24676571428571428,13,3,stand,
-0.5470371428571429,-0.27440714285714285,-0.20835428571428571,13,4,stand,
-0.5115885714285714,-0.2572342857142857,-0.16466,13,5,stand,
-0.47713714285714287,-0.23989142857142856,-0.11911142857142858,13,6,stand,
-0.5845514285714286,-0.26639142857142856,-0.47332,13,7,hit,
-0.6884771428571429,-0.32377285714285714,-0.5102657142857143,13,8,hit,
-0.8090171428571429,-0.3865928571428571,-0.5424228571428571,13,9,hit,
-0.80058,-0.39186857142857145,-0.4985657142857143,13,10,hit,
-0.6211171428571428,-0.2974742857142857,-0.4145142857142857,13,11,hit,
-0.5036971428571428,-0.25402142857142856,-0.2864114285714286,12,2,hit,
-0.4654285714285714,-0.23063,-0.24570285714285714,12,3,hit,
-0.4243,-0.21457428571428572,-0.20699142857142858,12,4,stand,
-0.38150285714285714,-0.19324857142857144,-0.1645,12,5,stand,
-0.34398285714285715,-0.1720242857142857,-0.12232,12,6,stand,
-0.5058571428571429,-0.21317857142857144,-0.47527142857142857,12,7,hit,
-0.6162657142857143,-0.27098428571428573,-0.5088171428571429,12,8,hit,
-0.7394028571428571,-0.34007714285714286,-0.54244,12,9,hit,
-0.7363342857142857,-0.35452285714285714,-0.49917428571428574,12,10,hit,
-0.58562,-0.2644742857142857,-0.41266857142857144,12,11,hit,
0.47224571428571427,0.23835285714285714,-0.28724,11,2,double,
0.519,0.26034714285714283,-0.24838857142857143,11,3,double,
0.5710428571428572,0.2841485714285714,-0.20613142857142858,11,4,double,
0.6159971428571429,0.30580857142857143,-0.16419714285714285,11,5,double,
0.6651171428571429,0.33209571428571427,-0.12054857142857144,11,6,double,
0.46557714285714286,0.2921885714285714,-0.4733428571428571,11,7,double,
0.34840571428571426,0.22946142857142857,-0.5095428571428572,11,8,double,
0.22806857142857143,0.15950571428571428,-0.5415942857142857,11,9,double,
0.16514571428571428,0.10798285714285714,-0.49774714285714283,11,10,double,
0.07356,0.07188714285714286,-0.4133342857142857,11,11,double,
0.35443142857142856,0.17906857142857144,-0.2860657142857143,10,2,double,
0.40789714285714285,0.20491571428571428,-0.24625142857142857,10,3,double,
0.4587771428571429,0.22941571428571428,-0.20828,10,4,double,
0.51338,0.25696142857142856,-0.16328,10,5,double,
0.5648428571428571,0.28298,-0.12050285714285715,10,6,double,
0.39473714285714284,0.2573142857142857,-0.4738914285714286,10,7,double,
0.28863714285714287,0.19788142857142857,-0.5108742857142857,10,8,double,
0.14600285714285716,0.11577285714285715,-0.5425857142857143,10,9,double,
-0.006931428571428571,0.025561428571428572,-0.4990414285714286,10,10,hit,
-0.02201142857142857,0.02342,-0.41530285714285714,10,11,hit,
0.3541714285714286,0.18037571428571428,0.6344942857142857,soft_20,2,stand,
0.4120114285714286,0.20612857142857144,0.6462842857142858,soft_20,3,stand,
0.45824,0.23009142857142856,0.65548,soft_20,4,stand,
0.5128228571428571,0.2556428571428571,0.6673071428571429,soft_20,5,stand,
0.5619228571428572,0.2823857142857143,0.6771428571428572,soft_20,6,stand,
0.3898028571428571,0.2580685714285714,0.7728271428571428,soft_20,7,stand,
0.28240857142857145,0.19731285714285715,0.7917857142857143,soft_20,8,stand,
0.13913142857142857,0.11562285714285714,0.75783,soft_20,9,stand,
-0.008691428571428572,0.024637142857142857,0.5120785714285714,soft_20,10,stand,
-0.02256,0.022445714285714284,0.41727714285714285,soft_20,11,stand,
0.23924,0.12334428571428571,0.37692857142857145,soft_19,2,stand,
0.2913257142857143,0.14821571428571428,0.39711857142857143,soft_19,3,stand,
0.35005142857142857,0.17609857142857144,0.41349,soft_19,4,stand,
0.40952571428571427,0.20321,0.4355057142857143,soft_19,5,stand,
0.45957714285714285,0.23010285714285714,0.45328,soft_19,6,double,
