double,hit,stand,player_total,dealer_card_up,best_action,split
-1.70857,-0.854285,0.6334071428571428,20,2,stand,
-1.70765,-0.853825,0.6437078571428572,20,3,stand,
-1.7079657142857143,-0.8539828571428572,0.6534042857142857,20,4,stand,
-1.7072857142857143,-0.8536428571428571,0.6691792857142858,20,5,stand,
-1.7062942857142858,-0.8531471428571429,0.67723,20,6,stand,
-1.701,-0.8505,0.7720342857142857,20,7,stand,
-1.699577142857143,-0.8497885714285714,0.7903557142857143,20,8,stand,
-1.69808,-0.84904,0.7568235714285714,20,9,stand,
-1.7181985714285715,-0.8590992857142857,0.43801357142857145,20,10,stand,
-1.8035514285714285,-0.9017757142857142,0.11460428571428571,20,11,stand,
-1.4577057142857144,-0.7293692857142857,0.3784807142857143,19,2,stand,
-1.45668,-0.7281785714285715,0.3970207142857143,19,3,stand,
-1.4544742857142856,-0.7284521428571429,0.41524285714285714,19,4,stand,
-1.4520914285714286,-0.7264321428571429,0.4366857142857143,19,5,stand,
-1.4492314285714285,-0.7258828571428572,0.4524214285714286,19,6,stand,
-1.4302228571428572,-0.7159464285714285,0.6166807142857142,19,7,stand,
-1.42518,-0.7130671428571429,0.5936442857142857,19,8,stand,
-1.4290014285714285,-0.7158828571428572,0.2875114285714286,19,9,stand,
-1.3460571428571428,-0.6727885714285714,0.05803357142857143,19,10,stand,
-1.0119342857142857,-0.5053242857142857,0.12995357142857142,19,11,stand,
-1.2468185714285713,-0.6240964285714286,0.10988285714285714,18,2,stand,
-1.241142857142857,-0.6211714285714286,0.13800785714285715,18,3,stand,
-1.2371528571428572,-0.618375,0.1652192857142857,18,4,stand,
-1.2327342857142858,-0.6156257142857143,0.19552357142857144,18,5,stand,
-1.2272757142857142,-0.6137807142857142,0.2227107142857143,18,6,stand,
-1.183512857142857,-0.5927892857142857,0.39914357142857143,18,7,stand,
-1.1837185714285714,-0.5908585714285715,0.10632571428571429,18,8,stand,
-1.2298885714285714,-0.6160214285714286,-0.18298857142857142,18,9,stand,
-1.1955557142857143,-0.5974021428571429,-0.16416642857142857,18,10,stand,
-0.8851157142857143,-0.4418357142857143,-0.15462,18,11,stand,
-1.076112857142857,-0.5373735714285715,-0.15823857142857142,17,2,stand,
-1.0661685714285714,-0.5332728571428571,-0.11875928571428572,17,3,stand,
-1.0586728571428572,-0.528325,-0.08396928571428572,17,4,stand,
-1.0469757142857143,-0.5241528571428572,-0.04575214285714286,17,5,stand,
-1.0375957142857142,-0.5186342857142857,-0.006345714285714286,17,6,stand,
-0.96551,-0.4830442857142857,-0.10653142857142857,17,7,stand,
-1.0119157142857143,-0.5063457142857143,-0.3822792857142857,17,8,stand,
-1.1063785714285714,-0.5533707142857143,-0.42266785714285715,17,9,stand,
-1.0791985714285715,-0.5392042857142857,-0.38689142857142855,17,10,stand,
-0.8036485714285714,-0.4012421428571429,-0.3565957142857143,17,11,stand,
-0.9485928571428571,-0.47430785714285717,-0.2883185714285714,16,2,stand,
-0.9318128571428571,-0.4670971428571429,-0.2473942857142857,16,3,stand,
-0.91832,-0.459135,-0.20682857142857142,16,4,stand,
-0.9011757142857143,-0.44943,-0.16487857142857143,16,5,stand,
-0.8849171428571428,-0.44241785714285714,-0.12036,16,6,stand,
-0.8287357142857142,-0.41296714285714287,-0.47300285714285717,16,7,hit,
-0.9167628571428571,-0.45792285714285713,-0.51189,16,8,hit,
-1.0195785714285714,-0.5082821428571429,-0.5424742857142857,16,9,hit,
-0.9962842857142857,-0.4974164285714286,-0.4988814285714286,16,10,hit,
-0.7520485714285714,-0.37416357142857143,-0.4138764285714286,16,11,hit,
-0.8382085714285714,-0.41762785714285716,-0.28593,15,2,stand,
-0.8140242857142858,-0.407445,-0.24732714285714286,15,3,stand,
-0.7988157142857143,-0.39714285714285713,-0.20596,15,4,stand,
-0.7706985714285715,-0.38655285714285714,-0.16541571428571428,15,5,stand,
-0.74751,-0.3738307142857143,-0.12185571428571429,15,6,stand,
-0.7445485714285714,-0.36908,-0.4730214285714286,15,7,hit,
-0.8412971428571429,-0.4166471428571429,-0.5091828571428572,15,8,hit,
-0.9468942857142857,-0.47082785714285713,-0.5418685714285715,15,9,hit,
-0.9321257142857143,-0.4654614285714286,-0.49736071428571427,15,10,hit,
-0.7088457142857143,-0.3503342857142857,-0.4139278571428571,15,11,hit,
-0.7279457142857143,-0.36444857142857146,-0.28837,14,2,stand,
-0.7001285714285714,-0.34962714285714286,-0.24738142857142856,14,3,stand,
-0.6732257142857143,-0.335315,-0.20728428571428573,14,4,stand,
-0.6403357142857142,-0.31852214285714286,-0.1652142857142857,14,5,stand,
-0.6106514285714286,-0.30531071428571427,-0.12198,14,6,stand,
-0.6634571428571429,-0.3207257142857143,-0.47484571428571426,14,7,hit,
-0.7663985714285714,-0.37191714285714284,-0.5105514285714285,14,8,hit,
-0.8778928571428571,-0.43150714285714287,-0.5418942857142857,14,9,hit,
-0.8633814285714285,-0.4309057142857143,-0.4979921428571429,14,10,hit,
-0.6657957142857143,-0.3249978571428571,-0.41279285714285713,14,11,hit,
-0.6176671428571429,-0.3076635714285714,-0.28649,13,2,stand,
-0.5827,-0.29195714285714286,-0.2456157142857143,13,3,stand,
-0.54617,-0.27264642857142857,-0.20650428571428572,13,4,stand,
-0.5130557142857143,-0.2563128571428571,-0.1643,13,5,stand,
-0.47707571428571427,-0.23934857142857144,-0.12098714285714286,13,6,stand,
-0.58592,-0.26960357142857144,-0.47467714285714285,13,7,hit,
-0.6904757142857143,-0.3253392857142857,-0.5100785714285714,13,8,hit,
-0.8065614285714285,-0.3876507142857143,-0.54131,13,9,hit,
-0.80121,-0.393025,-0.49892714285714285,13,10,hit,
-0.6213942857142857,-0.2972464285714286,-0.41276857142857143,13,11,hit,
-0.5074928571428572,-0.25294714285714287,-0.28776,12,2,hit,
-0.4660714285714286,-0.23218642857142857,-0.2478057142857143,12,3,hit,
-0.42230142857142855,-0.21265714285714285,-0.20818571428571428,12,4,stand,
-0.38398571428571426,-0.19196285714285713,-0.16414857142857142,12,5,stand,
-0.3423614285714286,-0.17066571428571428,-0.12151857142857143,12,6,stand,
-0.5055885714285714,-0.21216142857142858,-0.4741842857142857,12,7,hit,
-0.6142714285714286,-0.27311857142857143,-0.5099914285714285,12,8,hit,
-0.73628,-0.34139714285714284,-0.5432157142857142,12,9,hit,
-0.7362614285714286,-0.35263,-0.49872285714285713,12,10,hit,
-0.5807885714285714,-0.2664807142857143,-0.41365285714285716,12,11,hit,
0.47275,0.239075,-0.28734,11,2,double,
0.5191385714285714,0.26128142857142855,-0.2460857142857143,11,3,double,
0.5684928571428571,0.2835628571428571,-0.20606142857142856,11,4,double,
0.6160814285714286,0.30861285714285713,-0.16506857142857143,11,5,double,
0.6683814285714286,0.33252642857142856,-0.12196285714285714,11,6,double,
0.46559,0.292465,-0.4760128571428571,11,7,double,
0.3519185714285714,0.23024,-0.5100457142857143,11,8,double,
0.22718857142857143,0.1558857142857143,-0.54266,11,9,double,
0.16452857142857144,0.10875714285714286,-0.49854571428571426,11,10,double,
0.07570714285714286,0.07111071428571429,-0.41426285714285715,11,11,double,
0.35961,0.18220142857142857,-0.2858171428571429,10,2,double,
0.41063428571428573,0.20448,-0.2468642857142857,10,3,double,
0.4589814285714286,0.22990714285714287,-0.20631428571428573,10,4,double,
0.51389,0.25671642857142857,-0.16358857142857142,10,5,double,
0.5664128571428572,0.2816492857142857,-0.12152428571428571,10,6,double,
0.3944385714285714,0.2566157142857143,-0.47477285714285716,10,7,double,
0.28367714285714285,0.19550928571428572,-0.5110642857142857,10,8,double,
0.14261285714285715,0.11471714285714285,-0.54175,10,9,double,
-0.005744285714285714,0.02308,-0.49785285714285715,10,10,hit,
-0.021687142857142856,0.02435714285714286,-0.41407,10,11,hit,
0.35785285714285714,0.18025142857142856,0.6346842857142857,soft_20,2,stand,
0.40884857142857145,0.2061,0.6448164285714286,soft_20,3,stand,
0.46244142857142856,0.231255,0.6564507142857143,soft_20,4,stand,
0.5142342857142858,0.25556,0.6680314285714286,soft_20,5,stand,
0.5646214285714286,0.28249142857142856,0.6769821428571429,soft_20,6,stand,
0.39200714285714283,0.2566935714285714,0.7740471428571428,soft_20,7,stand,
0.28588,0.19701142857142856,0.7924957142857143,soft_20,8,stand,
0.14431714285714287,0.113215,0.758545,soft_20,9,stand,
-0.007488571428571429,0.023200714285714286,0.5124478571428571,soft_20,10,stand,
-0.021634285714285714,0.024414285714285715,0.4175392857142857,soft_20,11,stand,
0.23762142857142857,0.12359857142857143,0.37798571428571426,soft_19,2,stand,
0.29371857142857144,0.14841142857142858,0.3959407142857143,soft_19,3,stand,
0.34794,0.17458285714285715,0.41613714285714287,soft_19,4,stand,
0.40336285714285713,0.20223357142857143,0.43535214285714285,soft_19,5,stand,
0.4631214285714286,0.2309392857142857,0.4528907142857143,soft_19,6,double,
0.32057714285714284,0.219265,0.6157535714285715,soft_19,7,stand,
0.19130142857142857,0.15118357142857142,0.5929985714285714,soft_19,8,stand,
-0.07159571428571429,0.006957857142857143,0.28843071428571426,soft_19,9,stand,
-0.21626,-0.08063642857142857,0.057531428571428574,soft_19,10,stand,
-0.1564457142857143,-0.04329142857142857,0.131595,soft_19,11,stand,
0.11411428571428571,0.06122071428571429,0.11041642857142857,soft_18,2,double,
0.17585285714285714,0.08801214285714286,0.13766642857142858,soft_18,3,double,
0.23223285714285713,0.11590642857142858,0.16569142857142857,soft_18,4,double,
0.29076142857142856,0.14624071428571428,0.19390428571428572,soft_18,5,double,
0.3535,0.17743928571428572,0.2238307142857143,soft_18,6,double,
0.21786857142857144,0.16934642857142856,0.40029714285714285,soft_18,7,stand,
-0.02827714285714286,0.03964642857142857,0.10515571428571428,soft_18,8,stand,
-0.28764428571428574,-0.09865857142857143,-0.1830607142857143,soft_18,9,hit,
-0.31767285714285715,-0.13288857142857144,-0.16506714285714286,soft_18,10,hit,
-0.2874,-0.10947357142857143,-0.1557157142857143,soft_18,11,hit,
-0.008145714285714286,-0.002255,-0.15669857142857144,soft_17,2,hit,
0.051385714285714285,0.028810714285714287,-0.12073571428571428,soft_17,3,double,
0.11410857142857143,0.06248928571428571,-0.08405142857142857,soft_17,4,double,
0.18032857142857142,0.09703571428571428,-0.045861428571428574,soft_17,5,double,
0.24670571428571428,0.13224785714285714,-0.005858571428571428,soft_17,6,double,
-0.013788571428571428,0.05403928571428571,-0.10557642857142857,soft_17,7,hit,
-0.2567885714285714,-0.07267857142857143,-0.38117285714285715,soft_17,8,hit,
-0.39729285714285717,-0.14829642857142858,-0.42158357142857145,soft_17,9,hit,
-0.4241957142857143,-0.18209285714285714,-0.3869107142857143,soft_17,10,hit,
-0.38061428571428574,-0.15181642857142857,-0.356125,soft_17,11,hit,
-0.07089,-0.020547142857142858,-0.2869457142857143,soft_16,2,hit,
-0.004995714285714286,0.014365714285714285,-0.2468057142857143,soft_16,3,hit,
0.05957285714285714,0.05017785714285714,-0.20519142857142858,soft_16,4,double,
0.1256057142857143,0.08534071428571428,-0.16516571428571428,soft_16,5,double,
0.1947357142857143,0.12688785714285714,-0.12136142857142856,soft_16,6,double,
-0.18028714285714287,-0.003777142857142857,-0.4742857142857143,soft_16,7,hit,
-0.3136028571428571,-0.06555714285714286,-0.5101071428571429,soft_16,8,hit,
-0.4542185714285714,-0.14883,-0.5408671428571429,soft_16,9,hit,
-0.47483285714285717,-0.19263857142857144,-0.49836928571428574,soft_16,10,hit,
-0.4088785714285714,-0.14051857142857144,-0.4124007142857143,soft_16,11,hit,
-0.06675,-0.0014914285714285715,-0.28658428571428574,soft_15,2,hit,
-0.0034342857142857144,0.033590714285714286,-0.24564571428571427,soft_15,3,hit,
0.06048571428571429,0.07180142857142857,-0.20573857142857144,soft_15,4,hit,
0.1266642857142857,0.10854,-0.16340857142857143,soft_15,5,double,
0.19458285714285714,0.15037857142857142,-0.12104714285714285,soft_15,6,double,
-0.17899857142857142,0.038467857142857144,-0.4738428571428571,soft_15,7,hit,
-0.3156357142857143,-0.024419285714285713,-0.5108228571428571,soft_15,8,hit,
-0.45583142857142855,-0.11399928571428572,-0.5424785714285715,soft_15,9,hit,
-0.47411857142857144,-0.16048142857142858,-0.4981092857142857,soft_15,10,hit,
-0.40667857142857144,-0.11683214285714286,-0.41415857142857143,soft_15,11,hit,
-0.07163857142857143,0.021397857142857142,-0.28677714285714284,soft_14,2,hit,
-0.007924285714285714,0.055962142857142856,-0.2468,soft_14,3,hit,
0.05870142857142857,0.09249071428571429,-0.20717857142857143,soft_14,4,hit,
0.12815714285714286,0.1343842857142857,-0.16455,soft_14,5,hit,
0.19513571428571427,0.17823142857142857,-0.12201285714285715,soft_14,6,double,
